"file","query","rel","docno"
"./output/dir/train/short/10000.out","EA1","unjudged",92
"./output/dir/train/short/10000.out","EA1","yes",8
"./output/dir/train/short/10000.out","EA2","no",23
"./output/dir/train/short/10000.out","EA2","unjudged",70
"./output/dir/train/short/10000.out","EA2","yes",7
"./output/dir/train/short/10000.out","EA3","unjudged",95
"./output/dir/train/short/10000.out","EA3","yes",5
"./output/dir/train/short/10000.out","EA4","no",7
"./output/dir/train/short/10000.out","EA4","unjudged",78
"./output/dir/train/short/10000.out","EA4","yes",15
"./output/dir/train/short/10000.out","EA5","unjudged",66
"./output/dir/train/short/10000.out","EA5","yes",34
"./output/dir/train/short/10000.out","EA6","no",5
"./output/dir/train/short/10000.out","EA6","unjudged",80
"./output/dir/train/short/10000.out","EA6","yes",15
"./output/dir/train/short/1000.out","EA1","unjudged",93
"./output/dir/train/short/1000.out","EA1","yes",7
"./output/dir/train/short/1000.out","EA2","no",24
"./output/dir/train/short/1000.out","EA2","unjudged",68
"./output/dir/train/short/1000.out","EA2","yes",8
"./output/dir/train/short/1000.out","EA3","no",2
"./output/dir/train/short/1000.out","EA3","unjudged",90
"./output/dir/train/short/1000.out","EA3","yes",8
"./output/dir/train/short/1000.out","EA4","no",10
"./output/dir/train/short/1000.out","EA4","unjudged",73
"./output/dir/train/short/1000.out","EA4","yes",17
"./output/dir/train/short/1000.out","EA5","unjudged",60
"./output/dir/train/short/1000.out","EA5","yes",40
"./output/dir/train/short/1000.out","EA6","no",6
"./output/dir/train/short/1000.out","EA6","unjudged",78
"./output/dir/train/short/1000.out","EA6","yes",16
"./output/dir/train/short/2500.out","EA1","unjudged",92
"./output/dir/train/short/2500.out","EA1","yes",8
"./output/dir/train/short/2500.out","EA2","no",24
"./output/dir/train/short/2500.out","EA2","unjudged",69
"./output/dir/train/short/2500.out","EA2","yes",7
"./output/dir/train/short/2500.out","EA3","no",1
"./output/dir/train/short/2500.out","EA3","unjudged",92
"./output/dir/train/short/2500.out","EA3","yes",7
"./output/dir/train/short/2500.out","EA4","no",8
"./output/dir/train/short/2500.out","EA4","unjudged",74
"./output/dir/train/short/2500.out","EA4","yes",18
"./output/dir/train/short/2500.out","EA5","unjudged",66
"./output/dir/train/short/2500.out","EA5","yes",34
"./output/dir/train/short/2500.out","EA6","no",5
"./output/dir/train/short/2500.out","EA6","unjudged",81
"./output/dir/train/short/2500.out","EA6","yes",14
"./output/dir/train/short/250.out","EA1","unjudged",93
"./output/dir/train/short/250.out","EA1","yes",7
"./output/dir/train/short/250.out","EA2","no",27
"./output/dir/train/short/250.out","EA2","unjudged",65
"./output/dir/train/short/250.out","EA2","yes",8
"./output/dir/train/short/250.out","EA3","no",3
"./output/dir/train/short/250.out","EA3","unjudged",89
"./output/dir/train/short/250.out","EA3","yes",8
"./output/dir/train/short/250.out","EA4","no",11
"./output/dir/train/short/250.out","EA4","unjudged",71
"./output/dir/train/short/250.out","EA4","yes",18
"./output/dir/train/short/250.out","EA5","unjudged",62
"./output/dir/train/short/250.out","EA5","yes",38
"./output/dir/train/short/250.out","EA6","no",6
"./output/dir/train/short/250.out","EA6","unjudged",82
"./output/dir/train/short/250.out","EA6","yes",12
"./output/dir/train/short/5000.out","EA1","unjudged",92
"./output/dir/train/short/5000.out","EA1","yes",8
"./output/dir/train/short/5000.out","EA2","no",23
"./output/dir/train/short/5000.out","EA2","unjudged",70
"./output/dir/train/short/5000.out","EA2","yes",7
"./output/dir/train/short/5000.out","EA3","unjudged",96
"./output/dir/train/short/5000.out","EA3","yes",4
"./output/dir/train/short/5000.out","EA4","no",8
"./output/dir/train/short/5000.out","EA4","unjudged",75
"./output/dir/train/short/5000.out","EA4","yes",17
"./output/dir/train/short/5000.out","EA5","unjudged",67
"./output/dir/train/short/5000.out","EA5","yes",33
"./output/dir/train/short/5000.out","EA6","no",5
"./output/dir/train/short/5000.out","EA6","unjudged",81
"./output/dir/train/short/5000.out","EA6","yes",14
"./output/dir/train/short/500.out","EA1","unjudged",93
"./output/dir/train/short/500.out","EA1","yes",7
"./output/dir/train/short/500.out","EA2","no",23
"./output/dir/train/short/500.out","EA2","unjudged",68
"./output/dir/train/short/500.out","EA2","yes",9
"./output/dir/train/short/500.out","EA3","no",3
"./output/dir/train/short/500.out","EA3","unjudged",89
"./output/dir/train/short/500.out","EA3","yes",8
"./output/dir/train/short/500.out","EA4","no",10
"./output/dir/train/short/500.out","EA4","unjudged",73
"./output/dir/train/short/500.out","EA4","yes",17
"./output/dir/train/short/500.out","EA5","unjudged",60
"./output/dir/train/short/500.out","EA5","yes",40
"./output/dir/train/short/500.out","EA6","no",6
"./output/dir/train/short/500.out","EA6","unjudged",80
"./output/dir/train/short/500.out","EA6","yes",14
"./output/dir/train/short/50.out","EA1","unjudged",93
"./output/dir/train/short/50.out","EA1","yes",7
"./output/dir/train/short/50.out","EA2","no",20
"./output/dir/train/short/50.out","EA2","unjudged",74
"./output/dir/train/short/50.out","EA2","yes",6
"./output/dir/train/short/50.out","EA3","no",5
"./output/dir/train/short/50.out","EA3","unjudged",89
"./output/dir/train/short/50.out","EA3","yes",6
"./output/dir/train/short/50.out","EA4","no",8
"./output/dir/train/short/50.out","EA4","unjudged",74
"./output/dir/train/short/50.out","EA4","yes",18
"./output/dir/train/short/50.out","EA5","unjudged",67
"./output/dir/train/short/50.out","EA5","yes",33
"./output/dir/train/short/50.out","EA6","no",6
"./output/dir/train/short/50.out","EA6","unjudged",82
"./output/dir/train/short/50.out","EA6","yes",12
