"file","query","rel","docno"
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.0.out","EA1","unjudged",42
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.0.out","EA1","yes",8
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.0.out","EA2","unjudged",50
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.0.out","EA3","unjudged",50
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.0.out","EA4","no",3
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.0.out","EA4","unjudged",38
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.0.out","EA4","yes",9
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.0.out","EA5","unjudged",35
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.0.out","EA5","yes",15
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.0.out","EA6","unjudged",48
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.0.out","EA6","yes",2
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.1.out","EA1","unjudged",44
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.1.out","EA1","yes",6
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.1.out","EA2","no",5
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.1.out","EA2","unjudged",41
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.1.out","EA2","yes",4
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.1.out","EA3","unjudged",50
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.1.out","EA4","no",3
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.1.out","EA4","unjudged",37
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.1.out","EA4","yes",10
